SObject: SObject Name,SObjectField: SObjectField Name,type,isCustom
Campaign,HierarchyAmountWonOpportunities,CURRENCY,0
Campaign,HierarchyNumberSent,DOUBLE,0
Campaign,HierarchyExpectedRevenue,CURRENCY,0
Campaign,HierarchyBudgetedCost,CURRENCY,0
Campaign,HierarchyActualCost,CURRENCY,0
Campaign,OwnerId,REFERENCE,0
Campaign,CreatedDate,DATETIME,0
Campaign,CreatedById,REFERENCE,0
Campaign,LastModifiedDate,DATETIME,0
Campaign,LastModifiedById,REFERENCE,0
Campaign,SystemModstamp,DATETIME,0
Campaign,LastActivityDate,DATE,0
Campaign,LastViewedDate,DATETIME,0
Campaign,LastReferencedDate,DATETIME,0
Campaign,CampaignMemberRecordTypeId,REFERENCE,0
Opportunity,Id,ID,0
Opportunity,IsDeleted,BOOLEAN,0
Opportunity,AccountId,REFERENCE,0
Opportunity,IsPrivate,BOOLEAN,0
Contract,ShippingLatitude,DOUBLE,0
Contract,ShippingLongitude,DOUBLE,0
Contract,ShippingGeocodeAccuracy,PICKLIST,0
Contract,ShippingAddress,ADDRESS,0
Contract,ContractTerm,INTEGER,0
Contract,OwnerId,REFERENCE,0
Contract,Status,PICKLIST,0
Contract,CompanySignedId,REFERENCE,0
Contract,CompanySignedDate,DATE,0
Contract,CustomerSignedId,REFERENCE,0
Contract,CustomerSignedTitle,STRING,0
Contract,CustomerSignedDate,DATE,0
Contract,SpecialTerms,TEXTAREA,0
Contract,ActivatedById,REFERENCE,0
Contract,ActivatedDate,DATETIME,0
Contract,StatusCode,PICKLIST,0
Contract,Description,TEXTAREA,0
Contract,Name,STRING,0
Contract,IsDeleted,BOOLEAN,0
Contract,ContractNumber,STRING,0
Contract,LastApprovedDate,DATETIME,0
Contract,CreatedDate,DATETIME,0
Contract,CreatedById,REFERENCE,0
Contract,LastModifiedDate,DATETIME,0
Contract,LastModifiedById,REFERENCE,0
Opportunity,Name,STRING,0
Opportunity,Description,TEXTAREA,0
Opportunity,StageName,PICKLIST,0
Opportunity,Amount,CURRENCY,0
Opportunity,Probability,PERCENT,0
Opportunity,ExpectedRevenue,CURRENCY,0
Opportunity,TotalOpportunityQuantity,DOUBLE,0
Opportunity,CloseDate,DATE,0
Opportunity,Type,PICKLIST,0
